ID,GAMMA,D_DIMENSION,P_NORM,NOISE,MEAN,SIGMA,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,MEAN_INTERARRIVAL_TIME,SEED,WITH_RUNOUT,RUNOUT_SCALING,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_at
0205_203057,[0.21671153 0.07068552 0.62529199],3,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,0.1,20.0,52345327,True,100,False,,,,1
0205_203121,[0.19851992 0.71600003 0.01756785],3,0.9,normal,0,0.1,500,0.01,0.001,0.1,0.005,0.01,0.1,20.0,52345708,True,100,False,,,,1
0205_203122,[0.41354574 0.25652203 0.21847695],3,0.9,normal,0,1,500,0.01,0.001,0.1,0.005,0.01,0.1,20.0,52346089,True,100,False,,,,1
0205_203123,[0.34835188 0.49686732 0.15478079],3,1,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,0.1,20.0,52346470,True,100,False,,,,1
0205_203150,[0.35356888 0.56050348 0.08592764],3,1,normal,0,0.1,500,0.01,0.001,0.1,0.005,0.01,0.1,20.0,52346851,True,100,False,,,,1
0205_203219,[0.41385667 0.43826782 0.1478755 ],3,1,normal,0,1,500,0.01,0.001,0.1,0.005,0.01,0.1,20.0,52347232,True,100,False,,,,1
0205_203220,[0.22235491 0.06018481 0.91857579],3,1.5,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,0.1,20.0,52347613,True,100,False,,,,1
0205_203244,[0.62423473 0.52583956 0.25065272],3,1.5,normal,0,0.1,500,0.01,0.001,0.1,0.005,0.01,0.1,20.0,52347994,True,100,False,,,,1
0205_203313,[0.02734706 0.89386592 0.28278329],3,1.5,normal,0,1,500,0.01,0.001,0.1,0.005,0.01,0.1,20.0,52348375,True,100,False,,,,1
0205_203314,[0.38692511 0.27533206 0.88004615],3,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,0.1,20.0,52348756,True,100,False,,,,1
0205_203349,[0.86835016 0.03263896 0.49487644],3,2,normal,0,0.1,500,0.01,0.001,0.1,0.005,0.01,0.1,20.0,52349137,True,100,False,,,,1
0205_203415,[0.11232696 0.49879536 0.85941017],3,2,normal,0,1,500,0.01,0.001,0.1,0.005,0.01,0.1,20.0,52349518,True,100,False,,,,1
