ID,GAMMA,D_DIMENSION,P_NORM,NOISE,MEAN,SIGMA,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,MEAN_INTERARRIVAL_TIME,SEED,WITH_RUNOUT,RUNOUT_SCALING,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_at
1704_162826,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.1,1000,0.01,0.001,0.1,0.005,0.01,0.1,10,1234567,True,100,False,,,,1000
1704_162827,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.1,1000,0.01,0.001,0.1,0.005,0.01,0.1,10,1234568,True,100,False,,,,1000
1704_162829,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.1,1000,0.01,0.001,0.1,0.005,0.01,0.1,10,1234569,True,100,False,,,,1000
1704_162830,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.1,1000,0.01,0.001,0.1,0.005,0.01,0.1,10,1234570,True,100,False,,,,1000
1704_162831,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.1,1000,0.01,0.001,0.1,0.005,0.01,0.1,10,1234571,True,100,False,,,,1000
1704_162928,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.1,1000,0.01,0.001,0.1,0.005,0.01,0.1,10,1234572,True,100,False,,,,1000
1704_163011,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.1,1000,0.01,0.001,0.1,0.005,0.01,0.1,10,1234573,True,100,False,,,,1000
1704_163012,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.1,1000,0.01,0.001,0.1,0.005,0.01,0.1,10,1234574,True,100,False,,,,1000
1704_163053,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.1,1000,0.01,0.001,0.1,0.005,0.01,0.1,10,1234575,True,100,False,,,,1000
1704_163054,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.1,1000,0.01,0.001,0.1,0.005,0.01,0.1,10,1234576,True,100,False,,,,1000
1704_163056,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.1,1000,0.01,0.001,0.1,0.005,0.01,0.1,10,1234577,True,100,False,,,,1000
