ID,GAMMA,D_DIMENSION,P_NORM,NOISE,MEAN,SIGMA,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,MEAN_INTERARRIVAL_TIME,SEED,WITH_RUNOUT,RUNOUT_SCALING,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_at
2304_182047,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234567,True,300,False,,,,1000
2304_182048,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234568,True,300,False,,,,1000
2304_182049,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234569,True,300,False,,,,1000
2304_182050,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234570,True,300,False,,,,1000
2304_182051,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234571,True,300,False,,,,1000
2304_182052,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234572,True,300,False,,,,1000
2304_182053,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234573,True,300,False,,,,1000
2304_182054,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234574,True,300,False,,,,1000
2304_182055,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234575,True,300,False,,,,1000
2304_182056,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234576,True,300,False,,,,1000
2304_182057,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234577,True,300,False,,,,1000
2304_182058,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234578,True,300,False,,,,1000
2304_182059,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234579,True,300,False,,,,1000
2304_182101,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234580,True,300,False,,,,1000
2304_182102,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234581,True,300,False,,,,1000
2304_182103,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234582,True,300,False,,,,1000
2304_182104,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234583,True,300,False,,,,1000
2304_182105,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234584,True,300,False,,,,1000
2304_182106,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234585,True,300,False,,,,1000
2304_182107,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234586,True,300,False,,,,1000
2304_182109,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234587,True,300,False,,,,1000
2304_182110,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234588,True,300,False,,,,1000
2304_182111,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234589,True,300,False,,,,1000
2304_182112,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234590,True,300,False,,,,1000
2304_182113,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234591,True,300,False,,,,1000
2304_182114,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234592,True,300,False,,,,1000
2304_182115,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234593,True,300,False,,,,1000
