ID,GAMMA,D_DIMENSION,P_NORM,NOISE,MEAN,SIGMA,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,MEAN_INTERARRIVAL_TIME,SEED,WITH_RUNOUT,RUNOUT_SCALING,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_at
2304_175224,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234567,True,300,False,,,,1000
2304_175226,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234568,True,300,False,,,,1000
2304_175228,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234569,True,300,False,,,,1000
2304_175230,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234570,True,300,False,,,,1000
2304_175232,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234571,True,300,False,,,,1000
2304_175234,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234572,True,300,False,,,,1000
2304_175236,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234573,True,300,False,,,,1000
2304_175238,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234574,True,300,False,,,,1000
2304_175239,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234575,True,300,False,,,,1000
2304_175241,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234576,True,300,False,,,,1000
2304_175243,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234577,True,300,False,,,,1000
2304_175245,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234578,True,300,False,,,,1000
2304_175247,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234579,True,300,False,,,,1000
2304_175249,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234580,True,300,False,,,,1000
2304_175251,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234581,True,300,False,,,,1000
2304_175253,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234582,True,300,False,,,,1000
2304_175255,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234583,True,300,False,,,,1000
2304_175257,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234584,True,300,False,,,,1000
2304_175259,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234585,True,300,False,,,,1000
2304_175301,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234586,True,300,False,,,,1000
2304_175303,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234587,True,300,False,,,,1000
2304_175305,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234588,True,300,False,,,,1000
2304_175307,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234589,True,300,False,,,,1000
2304_175309,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234590,True,300,False,,,,1000
2304_175311,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234591,True,300,False,,,,1000
2304_175313,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234592,True,300,False,,,,1000
2304_175315,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234593,True,300,False,,,,1000
2304_175317,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234594,True,300,False,,,,1000
2304_175319,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234595,True,300,False,,,,1000
2304_175321,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234596,True,300,False,,,,1000
2304_175323,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,500,0.01,0.001,0.1,0.005,0.01,1,15,1234597,True,300,False,,,,1000
