time,AVG_DIST_TO_GEN,VAR_DIST_TO_GEN,AVG_DIFF_MAX_MIN,VAR_DIFF_MAX_MIN,AVG_DIST_TO_GAMMA,VAR_DIST_TO_GAMMA,AVG_SKEWNESS,VAR_SKEWNESS,K,BIOMASS
0.0,0.129202022304612,0.0,0.13576581311800928,0.0,0.37902647883367496,0.0,-1.230464685719182,0.0,1.0,0.01
100.0,0.13307328803595678,5.3095377590234835e-05,0.14083508213497023,0.0001095499165633206,0.38297798086829926,2.535006728049079e-05,-0.9649937206589977,0.047606055037558166,9.0,489.9564749390288
200.0,0.13187624761609254,0.0001046063657011189,0.14064506629707715,0.00020433202361464487,0.38386085596644254,2.6941958358497837e-05,-0.8885995447388256,0.09335214035457422,17.0,387.56790349050345
300.0,0.13125995143295743,0.00012924297455641683,0.13780461062775257,0.00023775237983154985,0.3822644568551448,5.828495343193977e-05,-0.9746086808632647,0.1065732153826195,25.0,354.8881885604694
400.0,0.1305770877280926,0.00012892651542254172,0.13727956535189206,0.0002170062629857568,0.3817630293902678,5.604654212138659e-05,-1.0012453367521263,0.10284014138899258,28.0,396.48781303317486
500.0,0.13044404010681035,0.00011976002158121566,0.13698833072379277,0.00021928053510784145,0.3805145469995009,6.756092275761753e-05,-1.0254906603314122,0.1024667305841306,34.0,375.65547381161065
600.0,0.13026890477308328,0.00010790389834130678,0.13695855198916915,0.0002018423505395147,0.38009525127694477,6.325817741000776e-05,-1.0429212844891516,0.09943541477271303,37.0,380.69784603282716
700.0,0.13009679431627838,9.165336727519613e-05,0.1353457221170743,0.00017240806185092868,0.3781914225300961,7.525898452421557e-05,-1.0700934768229455,0.09874278115136564,41.0,379.90494498803304
800.0,0.12994597621358486,9.226996729791968e-05,0.13561387972671532,0.00018125826005403688,0.3787822573962238,9.317040301347577e-05,-1.0816504471474655,0.09009215853721174,46.0,379.9569035019406
900.0,0.1302356990882709,9.416798633369847e-05,0.13600772805174494,0.0001845370604734001,0.37892178073740507,9.208352509897037e-05,-1.079461049661051,0.08839580332251164,47.0,381.3411309456106
1000.0,0.12928628851676696,9.992842664833516e-05,0.13533518308091574,0.0001911233430312839,0.3794587072326862,9.756477928040063e-05,-1.0350922210038658,0.09785920377395875,53.0,384.4374541279294
1100.0,0.1302678356118746,0.00010049204134071618,0.1356449715784587,0.00017252478634899304,0.38003409734136795,0.00010085183016730201,-1.0217165003687416,0.10682974062505851,61.0,392.7185884924145
1200.0,0.12951944662055484,0.00010648784807298827,0.1348429365827979,0.00016971062238700253,0.37954866572819995,9.349260723226895e-05,-0.9882672818928551,0.11919928442784855,62.0,391.2221328452342
1300.0,0.12952739385209225,0.00011835050224712207,0.13501126412692396,0.00017832055692944702,0.3793153082336246,9.238170558915062e-05,-0.979189620299629,0.1476330290702083,67.0,378.187426369841
1400.0,0.1286700414081777,0.0001302192101146445,0.13352270121338197,0.00021361251349757087,0.37969326707155915,0.00010188898261119006,-0.95391342976808,0.18432136003066812,75.0,407.5931973458007
1500.0,0.12907317706298596,0.00013525040671582953,0.13373151546707646,0.00021380777147598959,0.3796761189082797,9.609577494171186e-05,-0.9457981007673837,0.1883093041922449,80.0,387.0633630059712
1600.0,0.1283720107965048,0.0001529177223630306,0.13291763464318634,0.00020953255163914063,0.3794862622467315,0.00010361851389361975,-0.9367744642836036,0.2008667525538497,90.0,381.1839006801736
1700.0,0.1286306217597911,0.00015296882570327132,0.1331199546041317,0.00020460763308465855,0.37924567553446,9.9324321853804e-05,-0.9464763524778589,0.19305639798466206,92.0,373.40484310406214
1800.0,0.12921223363108958,0.00014115753964446054,0.13331439845171048,0.00018325596708139238,0.3783146537094437,9.624874814789554e-05,-0.9898496720517518,0.15941503241895266,91.0,364.38110014949007
1900.0,0.12979282927229766,0.0001451686005624644,0.13363791705851852,0.0001817560566286172,0.3770767083765098,8.977139262507769e-05,-1.0083637661535734,0.15636745440008537,91.0,355.6971887754088
