ID,GAMMA,D_DIMENSION,P_NORM,NOISE,MEAN,SIGMA,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,MEAN_INTERARRIVAL_TIME,SEED,WITH_RUNOUT,RUNOUT_SCALING,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_every
2204_222101,[0.06128651 0.91831559 0.05616819 0.17285982 0.34627309],5,2,normal,0,0.1,500,0.01,0.001,0.1,0.05,0.01,0.1,5,,True,1000,False,,,,10
2204_222247,[0.25762715 0.93887902 0.06922097 0.21264682 0.04608935],5,2,normal,0,0.1,1000,0.01,0.001,0.1,0.05,0.01,0.1,10,,True,1000,False,,,,10
2204_224914,[0.07579999 0.06252225 0.27843204 0.04752566 0.40015594],5,0.9,normal,0,0.1,1000,0.01,0.001,0.1,0.05,0.01,0.1,10,,True,1000,False,,,,10
2204_225133,[0.32177964 0.06562256 0.03999177 0.20216347 0.22484062],5,0.9,normal,0,0.1,1000,0.01,0.001,0.001,0.05,0.01,0.1,10,,True,1000,False,,,,10
2204_225336,[0.0720334  0.25449354 0.21424556 0.16528312 0.13657603],5,0.9,normal,0,0.1,1000,0.01,0.001,0.01,0.05,0.01,0.1,10,,True,1000,False,,,,10
2204_225522,[0.0106221  0.03812885 0.04607444 0.07164297 0.04811826],5,0.5,normal,0,0.1,1000,0.01,0.001,0.01,0.05,0.01,0.1,10,,True,1000,False,,,,10
2204_233016,[0.01750872 0.00677592 0.06971407 0.05013809 0.08845504],5,0.5,normal,0,0.01,1000,0.01,0.001,0.01,0.05,0.01,0.1,10,,True,1000,False,,,,10
2204_233438,[0.00993847 0.00489311 0.08209655 0.27218091 0.00048942],5,0.5,normal,0,0.01,1000,0.01,0.001,0.01,0.05,0.01,0.1,10,,True,1000,False,,,,10
2604_163635,[0.02428889 0.00612683 0.82369529 0.03177122 0.0520029 ],5,0.9,normal,0,0.1,500,0.01,0.001,0.1,0.05,0.01,0.1,30,,True,1000,False,,,,10
2604_164630,[0.07415435 0.22475504 0.13569251 0.08373886 0.33117548],5,0.9,normal,0,0.1,500,0.01,0.001,0.1,0.05,0.01,0.1,30,,True,100,False,,,,10
2604_164838,[0.35140451 0.26200611 0.18377114 0.06920432 0.00112111],5,0.9,normal,0,0.1,500,0.01,0.001,0.1,0.05,0.01,0.1,30,,True,100,False,,,,10
2604_164846,[0.00433786 0.53744608 0.08984469 0.17185523 0.07861091],5,0.9,normal,0,0.1,50,0.01,0.001,0.1,0.05,0.01,0.1,30,,True,100,False,,,,10
2604_164940,[0.47948828 0.01842807 0.21744577 0.07814319 0.07944532],5,0.9,normal,0,0.1,50,0.01,0.001,0.1,0.05,0.01,0.1,30,,True,100,False,,,,10
2604_165028,[0.25356324 0.27684566 0.26113739 0.03480264 0.03346569],5,0.9,normal,0,0.1,50,0.01,0.001,0.1,0.05,0.01,0.1,30,,True,100,False,,,,10
2604_165053,[0.19844725 0.37070896 0.01785077 0.10515474 0.16624548],5,0.9,normal,0,0.1,50,0.01,0.001,0.1,0.05,0.01,0.1,30,,True,100,False,,,,10
2604_165159,[0.40660768 0.011208   0.13214506 0.21914664 0.09541324],5,0.9,normal,0,0.1,1000,0.01,0.001,0.1,0.05,0.01,0.1,20,,True,100,False,,,,10
2604_165308,[0.1620511  0.07456753 0.50839338 0.08705863 0.03890497],5,0.9,normal,0,0.1,1000,0.01,0.001,0.1,0.05,0.01,1,20,,True,100,False,,,,10
