STARTTIME,GAMMA,D_DIMENSION,P_NORM,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,SEED,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_every
1204_165107,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123456,False,,,,1000
1204_165134,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123457,False,,,,1000
1204_165201,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123458,False,,,,1000
1204_165229,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123459,False,,,,1000
1204_165256,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123460,False,,,,1000
1204_165325,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123461,False,,,,1000
1204_165352,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123462,False,,,,1000
1204_165420,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123463,False,,,,1000
1204_165449,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123464,False,,,,1000
1204_165517,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123465,False,,,,1000
1204_165544,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123466,False,,,,1000
1204_165612,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123467,False,,,,1000
1204_165639,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123468,False,,,,1000
1204_165707,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123469,False,,,,1000
1204_165735,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123470,False,,,,1000
1204_165802,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123471,False,,,,1000
1204_165828,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123472,False,,,,1000
1204_165856,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123473,False,,,,1000
1204_165924,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123474,False,,,,1000
1204_165952,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123475,False,,,,1000
1204_170020,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123476,False,,,,1000
1204_170046,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123477,False,,,,1000
1204_170114,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123478,False,,,,1000
1204_170142,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123479,False,,,,1000
1204_170211,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123480,False,,,,1000
1204_170239,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123481,False,,,,1000
1204_170306,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123482,False,,,,1000
1204_170334,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123483,False,,,,1000
1204_170402,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123484,False,,,,1000
1204_170429,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123485,False,,,,1000
1204_170456,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123486,False,,,,1000
1204_170524,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123487,False,,,,1000
1204_170551,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123488,False,,,,1000
1204_170619,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123489,False,,,,1000
1204_170647,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123490,False,,,,1000
1204_170715,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123491,False,,,,1000
1204_170743,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123492,False,,,,1000
1204_170810,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123493,False,,,,1000
1204_170839,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123494,False,,,,1000
1204_170906,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123495,False,,,,1000
1204_170933,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123496,False,,,,1000
1204_171001,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123497,False,,,,1000
1204_171024,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123498,False,,,,1000
1204_171047,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123499,False,,,,1000
