STARTTIME,GAMMA,D_DIMENSION,P_NORM,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,SEED,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_every
1204_162445,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123456,False,,,,1000
1204_162500,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123457,False,,,,1000
1204_162516,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123458,False,,,,1000
1204_162532,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123459,False,,,,1000
1204_162548,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123460,False,,,,1000
1204_162604,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123461,False,,,,1000
1204_162620,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123462,False,,,,1000
1204_162636,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123463,False,,,,1000
1204_162652,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123464,False,,,,1000
1204_162708,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123465,False,,,,1000
1204_162724,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123466,False,,,,1000
1204_162740,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123467,False,,,,1000
1204_162756,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123468,False,,,,1000
1204_162812,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123469,False,,,,1000
1204_162828,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123470,False,,,,1000
1204_162843,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123471,False,,,,1000
1204_162859,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123472,False,,,,1000
1204_162915,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123473,False,,,,1000
1204_162931,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123474,False,,,,1000
1204_162947,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123475,False,,,,1000
1204_163002,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123476,False,,,,1000
1204_163018,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123477,False,,,,1000
1204_163035,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123478,False,,,,1000
1204_163051,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123479,False,,,,1000
1204_163107,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123480,False,,,,1000
1204_163123,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123481,False,,,,1000
1204_163138,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123482,False,,,,1000
1204_163154,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123483,False,,,,1000
1204_163210,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123484,False,,,,1000
1204_163226,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123485,False,,,,1000
1204_163242,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123486,False,,,,1000
1204_163258,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123487,False,,,,1000
1204_163314,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123488,False,,,,1000
1204_163330,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123489,False,,,,1000
1204_163346,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123490,False,,,,1000
1204_163401,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123491,False,,,,1000
1204_163418,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123492,False,,,,1000
1204_163434,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123493,False,,,,1000
1204_163449,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123494,False,,,,1000
1204_163505,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123495,False,,,,1000
1204_163521,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123496,False,,,,1000
1204_163537,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123497,False,,,,1000
1204_163553,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123498,False,,,,1000
1204_163608,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123499,False,,,,1000
1204_163624,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123500,False,,,,1000
1204_163640,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123501,False,,,,1000
1204_163655,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123502,False,,,,1000
1204_163710,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123503,False,,,,1000
1204_163726,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123504,False,,,,1000
1204_163741,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123505,False,,,,1000
1204_163757,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123506,False,,,,1000
1204_163813,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123507,False,,,,1000
1204_163828,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123508,False,,,,1000
1204_163844,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123509,False,,,,1000
1204_163900,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123510,False,,,,1000
1204_163916,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123511,False,,,,1000
1204_163932,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123512,False,,,,1000
1204_163947,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123513,False,,,,1000
1204_164003,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123514,False,,,,1000
1204_164019,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123515,False,,,,1000
1204_164035,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123516,False,,,,1000
1204_164050,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123517,False,,,,1000
1204_164105,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123518,False,,,,1000
1204_164121,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123519,False,,,,1000
1204_164136,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123520,False,,,,1000
1204_164152,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123521,False,,,,1000
1204_164208,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123522,False,,,,1000
1204_164225,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123523,False,,,,1000
1204_164241,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123524,False,,,,1000
1204_164256,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123525,False,,,,1000
1204_164312,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123526,False,,,,1000
1204_164328,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123527,False,,,,1000
1204_164344,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123528,False,,,,1000
1204_164400,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123529,False,,,,1000
1204_164416,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123530,False,,,,1000
1204_164432,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123531,False,,,,1000
1204_164448,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123532,False,,,,1000
1204_164504,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123533,False,,,,1000
1204_164520,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123534,False,,,,1000
1204_164536,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123535,False,,,,1000
1204_164552,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123536,False,,,,1000
1204_164608,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123537,False,,,,1000
1204_164624,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123538,False,,,,1000
1204_164639,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123539,False,,,,1000
1204_164655,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123540,False,,,,1000
1204_164711,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123541,False,,,,1000
1204_164727,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123542,False,,,,1000
1204_164743,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123543,False,,,,1000
1204_164758,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123544,False,,,,1000
1204_164814,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123545,False,,,,1000
1204_164830,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123546,False,,,,1000
1204_164846,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123547,False,,,,1000
1204_164901,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123548,False,,,,1000
1204_164916,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123549,False,,,,1000
1204_164931,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123550,False,,,,1000
1204_164948,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123551,False,,,,1000
1204_165004,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123552,False,,,,1000
1204_165019,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123553,False,,,,1000
1204_165035,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123554,False,,,,1000
1204_165051,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,500,0.01,0.001,0.1,0.05,0.01,0.1,123555,False,,,,1000
