STARTTIME,GAMMA,D_DIMENSION,P_NORM,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,SEED,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_every
1204_103242,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123456,False,,,,1000
1204_103257,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123457,False,,,,1000
1204_103313,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123458,False,,,,1000
1204_103329,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123459,False,,,,1000
1204_103346,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123460,False,,,,1000
1204_103402,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123461,False,,,,1000
1204_103420,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123462,False,,,,1000
1204_103435,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123463,False,,,,1000
1204_103451,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123464,False,,,,1000
1204_103510,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123465,False,,,,1000
