ID,GAMMA,D_DIMENSION,P_NORM,NOISE,MEAN,SIGMA,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,MEAN_INTERARRIVAL_TIME,SEED,WITH_RUNOUT,RUNOUT_SCALING,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_at
0806_121527,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345678,True,300,False,,,,100
0806_121625,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345679,True,300,False,,,,100
0806_121756,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345680,True,300,False,,,,100
0806_121854,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345681,True,300,False,,,,100
0806_121941,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345682,True,300,False,,,,100
0806_122027,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345683,True,300,False,,,,100
0806_122115,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345684,True,300,False,,,,100
0806_122200,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345685,True,300,False,,,,100
0806_122247,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345686,True,300,False,,,,100
0806_122333,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345687,True,300,False,,,,100
0806_122420,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345688,True,300,False,,,,100
