ID,GAMMA,D_DIMENSION,P_NORM,NOISE,MEAN,SIGMA,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,MEAN_INTERARRIVAL_TIME,SEED,WITH_RUNOUT,RUNOUT_SCALING,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_at
0806_150208,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345678,True,300,False,,,,100
0806_150251,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345679,True,300,False,,,,100
0806_150350,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345680,True,300,False,,,,100
0806_150521,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345681,True,300,False,,,,100
0806_150611,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345682,True,300,False,,,,100
0806_150701,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345683,True,300,False,,,,100
0806_150745,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345684,True,300,False,,,,100
0806_150854,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345685,True,300,False,,,,100
0806_150949,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345686,True,300,False,,,,100
0806_151047,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345687,True,300,False,,,,100
0806_151143,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345688,True,300,False,,,,100
0806_151257,"[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
 0.31622777 0.31622777 0.31622777 0.31622777]",10,2,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345689,True,300,False,,,,100
