ID,GAMMA,D_DIMENSION,P_NORM,NOISE,MEAN,SIGMA,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,MEAN_INTERARRIVAL_TIME,SEED,WITH_RUNOUT,RUNOUT_SCALING,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_at
2205_153040,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345678,True,300,False,,,,100
2205_153118,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345679,True,300,False,,,,100
2205_153201,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345680,True,300,False,,,,100
2205_153231,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345681,True,300,False,,,,100
2205_153259,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345682,True,300,False,,,,100
2205_153327,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345683,True,300,False,,,,100
2205_153404,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345684,True,300,False,,,,100
2205_153449,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345685,True,300,False,,,,100
2205_153519,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345686,True,300,False,,,,100
2205_153545,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345687,True,300,False,,,,100
2205_153612,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345688,True,300,False,,,,100
2205_153639,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345689,True,300,False,,,,100
2205_153705,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345690,True,300,False,,,,100
2205_153730,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345691,True,300,False,,,,100
2205_153757,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345692,True,300,False,,,,100
2205_153824,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345693,True,300,False,,,,100
2205_153851,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345694,True,300,False,,,,100
2205_153920,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345695,True,300,False,,,,100
2205_153950,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345696,True,300,False,,,,100
2205_154017,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345697,True,300,False,,,,100
2205_154046,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345698,True,300,False,,,,100
2205_154126,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345699,True,300,False,,,,100
2205_154223,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345700,True,300,False,,,,100
2205_154321,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345701,True,300,False,,,,100
2205_154359,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345702,True,300,False,,,,100
2205_154450,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345703,True,300,False,,,,100
2205_154556,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345704,True,300,False,,,,100
2205_154635,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345705,True,300,False,,,,100
2205_154700,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345706,True,300,False,,,,100
2205_154731,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345707,True,300,False,,,,100
2205_154757,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345708,True,300,False,,,,100
2205_154826,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345709,True,300,False,,,,100
2205_154853,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345710,True,300,False,,,,100
2205_154921,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345711,True,300,False,,,,100
2205_154948,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345712,True,300,False,,,,100
2205_155014,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345713,True,300,False,,,,100
2205_155041,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345714,True,300,False,,,,100
2205_155112,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345715,True,300,False,,,,100
2205_155145,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345716,True,300,False,,,,100
2205_155219,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345717,True,300,False,,,,100
2205_155257,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345718,True,300,False,,,,100
2205_155342,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345719,True,300,False,,,,100
2205_155427,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345720,True,300,False,,,,100
2205_155504,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345721,True,300,False,,,,100
2205_155551,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345722,True,300,False,,,,100
2205_155633,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345723,True,300,False,,,,100
2205_155701,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345724,True,300,False,,,,100
2205_155727,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345725,True,300,False,,,,100
2205_155755,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345726,True,300,False,,,,100
2205_155824,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345727,True,300,False,,,,100
2205_155902,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345728,True,300,False,,,,100
2205_155955,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345729,True,300,False,,,,100
2205_160030,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345730,True,300,False,,,,100
2205_160116,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345731,True,300,False,,,,100
2205_160200,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345732,True,300,False,,,,100
2205_160246,[0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1],10,1,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345733,True,300,False,,,,100
