ID,GAMMA,D_DIMENSION,P_NORM,NOISE,MEAN,SIGMA,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,MEAN_INTERARRIVAL_TIME,SEED,WITH_RUNOUT,RUNOUT_SCALING,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_at
0706_154848,"[2.57076168e-02 2.03608368e-02 1.19316599e-02 7.53834847e-03
 5.83034948e-03 7.30252632e-05 1.04463436e-02 1.81748090e-03
 1.09811318e-02 2.76837897e-02]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345678,True,300,False,,,,100
0706_154956,"[0.03245669 0.0044114  0.01465497 0.02485219 0.00116288 0.01116243
 0.00555095 0.00100871 0.01822346 0.00878121]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345679,True,300,False,,,,100
0706_155120,"[0.00365396 0.01067703 0.0036825  0.00265532 0.01767994 0.04031201
 0.01185447 0.01349284 0.000721   0.01914797]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345680,True,300,False,,,,100
0706_155232,"[0.01213519 0.00805458 0.02427763 0.02087779 0.00216092 0.02112614
 0.00026229 0.00371831 0.01133163 0.01545818]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345681,True,300,False,,,,100
0706_155339,"[0.00660863 0.00111141 0.04479452 0.01256376 0.03004144 0.01114696
 0.00041703 0.00509011 0.0085675  0.00968303]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345682,True,300,False,,,,100
0706_155443,"[0.01065221 0.00997327 0.0123212  0.03325072 0.01343143 0.0024241
 0.01407499 0.00368197 0.006856   0.00582598]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345683,True,300,False,,,,100
0706_155551,"[0.00090065 0.01169393 0.02726739 0.01412069 0.00335123 0.03422929
 0.00031286 0.01945945 0.01860991 0.00171289]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345684,True,300,False,,,,100
0706_155646,"[4.15763480e-02 6.12651311e-03 3.76448668e-03 2.47419454e-02
 3.09351561e-03 4.00093499e-02 2.62413801e-03 7.88981876e-05
 1.14911811e-02 5.81033251e-03]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345685,True,300,False,,,,100
0706_155747,"[0.03194059 0.01496683 0.00993591 0.00663247 0.00618283 0.01553267
 0.00899215 0.00011089 0.02337084 0.00317295]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345686,True,300,False,,,,100
0706_155857,"[0.00806747 0.00446321 0.05105613 0.02267064 0.00199638 0.00423576
 0.01608721 0.02117129 0.00140587 0.00223279]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345687,True,300,False,,,,100
0706_160014,"[0.00225244 0.0183469  0.02421773 0.04121617 0.00228555 0.00106612
 0.01007288 0.00643096 0.00933431 0.01016489]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345688,True,300,False,,,,100
0706_160123,"[0.00643772 0.00146898 0.00240927 0.02336573 0.00914546 0.06492453
 0.01448121 0.00710604 0.00269898 0.00525229]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345689,True,300,False,,,,100
0706_160230,"[0.0267617  0.00792148 0.0082013  0.00647906 0.00537181 0.00407337
 0.01332922 0.00427736 0.00380047 0.03870515]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345690,True,300,False,,,,100
0706_160338,"[0.00191582 0.01995064 0.00554765 0.00039087 0.05937569 0.00840637
 0.00356362 0.00931631 0.00390953 0.02776536]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345691,True,300,False,,,,100
0706_160455,"[0.00456788 0.00266408 0.02321133 0.0031872  0.00716875 0.00600547
 0.01120004 0.00461754 0.04660024 0.01444182]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345692,True,300,False,,,,100
0706_160601,"[0.00630852 0.01316474 0.00869585 0.01457474 0.00757459 0.00845123
 0.00116434 0.00118079 0.02824664 0.03109707]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345693,True,300,False,,,,100
0706_160717,"[0.00331831 0.00776834 0.00056494 0.05161214 0.0154887  0.00952649
 0.00587259 0.00815858 0.00954512 0.01359356]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345694,True,300,False,,,,100
0706_160821,"[0.01874332 0.01368521 0.01499106 0.00392132 0.01859395 0.00125654
 0.0105348  0.0067863  0.00778828 0.01345014]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345695,True,300,False,,,,100
0706_160914,"[0.00182749 0.00361177 0.03203655 0.0075136  0.02140978 0.01536915
 0.00279237 0.01207696 0.003312   0.01985366]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345696,True,300,False,,,,100
0706_161019,"[0.00298447 0.00049536 0.01631911 0.00418817 0.00866044 0.06572247
 0.03124675 0.01242256 0.00432098 0.00074349]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345697,True,300,False,,,,100
0706_161139,"[0.03618975 0.006863   0.00272315 0.00428835 0.02285212 0.01219641
 0.03013412 0.00567097 0.00718697 0.0001952 ]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345698,True,300,False,,,,100
0706_161228,"[0.00874134 0.00049621 0.00026184 0.02711906 0.00743464 0.03070161
 0.00794636 0.01570854 0.0194998  0.00771029]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345699,True,300,False,,,,100
0706_161315,"[0.0023397  0.00067632 0.00166956 0.0095971  0.00224416 0.01751899
 0.03456203 0.03183855 0.00315907 0.03478916]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345700,True,300,False,,,,100
0706_161404,"[0.00471601 0.00508535 0.00512951 0.00666762 0.02434931 0.01423384
 0.00445418 0.02356888 0.01715149 0.00642656]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345701,True,300,False,,,,100
0706_161454,"[0.00277729 0.01093181 0.05192263 0.00719211 0.00501539 0.00237283
 0.00392509 0.02263584 0.02494395 0.00156046]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345702,True,300,False,,,,100
0706_161543,"[0.00192354 0.00979832 0.01249442 0.00468056 0.00490344 0.00126378
 0.00519893 0.01524479 0.03982565 0.03106443]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345703,True,300,False,,,,100
0706_161631,"[0.02212372 0.00865284 0.00195262 0.00170056 0.00315666 0.05033584
 0.00622108 0.0150712  0.0047831  0.01475578]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345704,True,300,False,,,,100
0706_161718,"[0.00862236 0.01077197 0.00045298 0.01769168 0.00832624 0.00692431
 0.01806651 0.03198651 0.00239313 0.01263872]",10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345705,True,300,False,,,,100
