ID,GAMMA,D_DIMENSION,P_NORM,NOISE,MEAN,SIGMA,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,MEAN_INTERARRIVAL_TIME,SEED,WITH_RUNOUT,RUNOUT_SCALING,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_at
2705_214941,"[0.53510623 0.42381255 0.24835852 0.15691136 0.12135922 0.00152003
 0.21744153 0.03783102 0.22857319 0.57624044]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345678,True,300,False,,,,100
2705_215024,"[0.6527624  0.08872124 0.29473774 0.49982221 0.02338759 0.22449646
 0.11163958 0.02028695 0.36650641 0.17660598]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345679,True,300,False,,,,100
2705_215125,"[0.06935928 0.20267094 0.06990115 0.05040323 0.33559991 0.76520109
 0.22502105 0.25612067 0.01368591 0.36346602]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345680,True,300,False,,,,100
2705_215231,"[0.26674529 0.17704876 0.53364986 0.45891745 0.04749939 0.46437655
 0.00576553 0.08173267 0.24908211 0.33978839]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345681,True,300,False,,,,100
2705_215342,"[0.112852   0.018979   0.76493129 0.21454444 0.51300113 0.19035042
 0.00712136 0.08692102 0.14630241 0.16535179]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345682,True,300,False,,,,100
2705_215435,"[0.24127162 0.22589373 0.27907406 0.75312613 0.30422069 0.05490562
 0.31879728 0.08339627 0.1552879  0.13195791]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345683,True,300,False,,,,100
2705_215528,"[0.0164673  0.21380876 0.49854985 0.25817893 0.06127299 0.62583936
 0.00572034 0.35579142 0.34025868 0.0313181 ]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345684,True,300,False,,,,100
2705_215624,"[0.64341793 0.09481132 0.0582576  0.38289585 0.04787394 0.61916773
 0.04061005 0.00122099 0.17783265 0.08991824]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345685,True,300,False,,,,100
2705_215713,"[0.6654946  0.31183964 0.20701865 0.1381902  0.12882165 0.32362927
 0.18735497 0.0023104  0.48694053 0.06610975]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345686,True,300,False,,,,100
2705_215816,"[0.12849943 0.07109044 0.81322648 0.3611     0.03179844 0.06746758
 0.25623843 0.33721823 0.0223928  0.03556415]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345687,True,300,False,,,,100
2705_215911,"[0.04135472 0.33684811 0.44463618 0.75672659 0.04196258 0.01957388
 0.18493756 0.11807212 0.17137737 0.18662676]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345688,True,300,False,,,,100
2705_220002,"[0.08936732 0.02039217 0.03344509 0.32435918 0.1269557  0.90127156
 0.20102578 0.09864488 0.03746686 0.07291143]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345689,True,300,False,,,,100
2705_220056,"[0.52063961 0.15410955 0.15955352 0.12604794 0.10450675 0.07924602
 0.25931537 0.08321454 0.07393688 0.75299526]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345690,True,300,False,,,,100
2705_220150,"[0.0273286  0.28458961 0.07913554 0.00557558 0.84697534 0.11991414
 0.05083396 0.13289416 0.05576814 0.39606404]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345691,True,300,False,,,,100
2705_220248,"[0.08086009 0.04715925 0.41088406 0.05641949 0.12690036 0.1063081
 0.19826168 0.08173906 0.8249116  0.25564732]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345692,True,300,False,,,,100
2705_220342,"[0.12883664 0.26885871 0.17759234 0.29765464 0.15469311 0.17259653
 0.02377886 0.02411481 0.57687098 0.63508439]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345693,True,300,False,,,,100
2705_220440,"[0.05655134 0.13238966 0.00962776 0.87958494 0.26396175 0.16235239
 0.10008194 0.13904022 0.1626699  0.23166436]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345694,True,300,False,,,,100
2705_220601,"[0.48002721 0.35048608 0.38392959 0.10042719 0.4762018  0.03218081
 0.26980238 0.17380113 0.19946245 0.34446576]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345695,True,300,False,,,,100
2705_220707,"[0.0376778  0.07446462 0.66050443 0.15490942 0.44140995 0.31686913
 0.05757088 0.24899325 0.06828416 0.40932726]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345696,True,300,False,,,,100
2705_220811,"[0.03906246 0.00648355 0.21359372 0.05481716 0.11335272 0.86021253
 0.40897505 0.1625935  0.05655544 0.00973115]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345697,True,300,False,,,,100
2705_220901,"[0.65577803 0.1243613  0.04934488 0.07770724 0.41409291 0.22100555
 0.54604674 0.10276104 0.13023186 0.0035371 ]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345698,True,300,False,,,,100
2705_220944,"[0.17277858 0.00980787 0.00517543 0.53602667 0.14695069 0.60683823
 0.15706515 0.31049004 0.38542681 0.15239913]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345699,True,300,False,,,,100
2705_221024,"[0.03775046 0.01091231 0.026938   0.15484692 0.03620908 0.28266489
 0.55765031 0.51370762 0.05097089 0.5613151 ]",10,2,normal,0,0.1,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345700,True,300,False,,,,100
